# Phase 4 bench capture — 6 IMUs (onboard LSM6DS3 hand ref + 5 finger MPU-6050 clones
# via PCA9548A mux), firmware/04_all_imus_raw/04_all_imus_raw.ino.
# sensor_id: 0 = onboard LSM6DS3 (hand), 1..5 = finger MPU-6050 (mux channels 0..4).
# Columns: millis,sensor_id,ax,ay,az,gx,gy,gz  (accel in g, gyro in deg/s)
# '#' lines are firmware status/comments, not data.
# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# units: accel g, gyro deg/s
millis,sensor_id,ax,ay,az,gx,gy,gz
# calib_start hold_still_ms=10000
1048,0,0.1153,0.0526,0.9936,0.07,-1.73,-10.43
1048,1,1.0076,-0.0818,0.0830,-8.84,2.40,-0.32
1048,2,1.0164,-0.0901,0.1118,-9.57,2.46,-3.18
1048,3,1.0029,-0.0767,0.1816,-11.07,-7.08,-11.31
1048,4,0.9880,-0.0959,0.2195,0.00,0.00,0.00
1048,5,1.2539,0.0820,0.0486,0.00,0.00,0.00
1058,0,0.1055,0.0518,1.0083,0.17,-1.66,-11.74
1058,1,0.9978,-0.0796,0.1077,-10.41,2.49,-0.64
1058,2,1.0081,-0.0906,0.1226,-11.10,2.32,-3.66
1058,3,0.9993,-0.0652,0.1997,-12.79,3.42,-3.24
1058,4,0.9871,-0.0791,0.2388,-8.87,0.20,-9.22
1058,5,1.2434,0.0972,0.0554,25.27,-25.30,-38.98
1069,0,0.0908,0.0371,1.0038,-0.16,-1.75,-13.34
1069,1,1.0027,-0.0640,0.1194,-12.32,1.91,-0.92
1069,2,1.0159,-0.0691,0.1260,-12.98,1.92,-4.09
1069,3,0.9971,-0.0483,0.2048,-14.43,3.45,-3.66
1069,4,0.9817,-0.0645,0.2388,-13.97,3.73,-5.62
1069,5,1.2422,0.1108,0.0571,-8.23,-7.04,-4.23
1080,0,0.0717,0.0370,1.0037,-0.16,-1.70,-15.87
1080,1,1.0034,-0.0378,0.1353,-14.84,1.48,-1.63
1080,2,1.0088,-0.0410,0.1453,-15.63,1.57,-4.58
1080,3,0.9861,-0.0276,0.2192,-17.21,3.37,-4.43
1080,4,0.9702,-0.0408,0.2441,-16.89,3.95,-6.52
1080,5,1.2349,0.1292,0.0732,-11.01,-6.73,-5.36
1090,0,0.0514,0.0268,1.0049,-0.05,-1.50,-18.71
1090,1,0.9976,-0.0244,0.1548,-18.17,1.74,-1.54
1090,2,1.0051,-0.0364,0.1565,-18.99,1.59,-5.37
1090,3,0.9802,-0.0151,0.2368,-20.55,3.42,-5.05
1090,4,0.9697,-0.0273,0.2610,-20.00,3.65,-7.22
1090,5,1.2354,0.1428,0.0767,-14.49,-7.08,-6.29
1100,0,0.0409,0.0162,1.0005,-0.21,-1.50,-22.30
1100,1,1.0066,-0.0173,0.1431,-20.90,1.85,-2.08
1100,2,1.0115,-0.0286,0.1501,-21.62,1.74,-5.60
1100,3,0.9844,-0.0090,0.2278,-23.08,3.25,-5.73
1100,4,0.9712,-0.0239,0.2527,-22.75,3.51,-8.18
1100,5,1.2317,0.1448,0.0625,-16.89,-6.67,-7.10
1111,0,0.0340,0.0234,1.0048,-0.23,-1.50,-24.48
1111,1,1.0051,-0.0144,0.1248,-22.87,2.09,-2.49
1111,2,1.0078,-0.0281,0.1438,-23.57,1.86,-6.32
1111,3,1.0005,-0.0049,0.2134,-25.10,3.30,-6.09
1111,4,0.9832,-0.0249,0.2458,-24.34,3.56,-8.58
1111,5,1.2432,0.1465,0.0730,-18.50,-6.89,-7.34
1122,0,0.0361,0.0185,1.0055,-0.04,-1.49,-26.20
1122,1,0.9968,-0.0076,0.1228,-24.14,1.94,-2.60
1122,2,1.0100,-0.0095,0.1558,-24.60,1.88,-6.47
1122,3,0.9861,0.0090,0.2153,-26.32,3.39,-6.52
1122,4,0.9773,0.0042,0.2544,-25.62,3.44,-9.08
1122,5,1.2385,0.1755,0.0808,-19.63,-7.25,-7.68
1132,0,0.0093,0.0133,1.0095,-0.09,-1.43,-27.32
1132,1,1.0059,0.0261,0.1331,-25.63,2.05,-2.87
1132,2,1.0071,0.0178,0.1548,-26.14,1.63,-6.96
1132,3,0.9907,0.0437,0.2158,-27.60,3.19,-7.08
1132,4,0.9734,0.0276,0.2493,-26.78,3.39,-9.68
1132,5,1.2280,0.2048,0.0857,-21.11,-7.28,-8.09
1143,0,-0.0203,0.0089,1.0009,0.09,-1.37,-29.21
1143,1,0.9998,0.0520,0.1475,-27.40,1.91,-3.18
1143,2,0.9998,0.0508,0.1746,-27.77,1.47,-7.27
1143,3,0.9883,0.0725,0.2498,-29.42,2.67,-7.25
1143,4,0.9690,0.0674,0.2825,-28.64,2.69,-10.26
1143,5,1.2341,0.2373,0.0996,-23.16,-7.48,-9.02
1154,0,-0.0515,-0.0111,1.0117,0.51,-1.15,-31.76
1154,1,0.9983,0.0769,0.1792,-29.74,1.04,-3.85
1154,2,0.9990,0.0657,0.1985,-30.31,0.38,-7.92
1154,3,0.9832,0.0845,0.2666,-31.59,1.40,-7.86
1154,4,0.9629,0.0676,0.2998,-30.61,1.47,-10.90
1154,5,1.2097,0.2424,0.1367,-24.58,-8.67,-9.36
1164,0,-0.0536,-0.0623,0.9938,0.94,-1.45,-32.29
